Course CRN Meeting Time,Day,Time,Building,Room,Comments
ARCH 466 - 23445 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,,,
ARCH 471 - 25888 - 8:00 AM (MWF),Wed May 3,8:00 - 10:00 am,2BH,208,
ARCH 499 - 28775 - 10:00 AM (W),Fri May 5,10:30 - 12:30 pm,,,
ARCH 499 - 34183,Fri May 5,10:30 - 12:30 pm,,,
ARCH 520 - 28872 - 10:00 AM (F),Fri May 5,10:30 - 12:30 pm,,,
ARCH 522 - 30240 - 10:00 AM (F),Fri May 5,10:30 - 12:30 pm,,,
ARCH 544 - 28767 - 10:00 AM (M),Fri May 5,10:30 - 12:30 pm,,,
ARCH 552 - 28865 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,,,
ARCH 554 - 28866 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,,,
ARCH 555 - 36979 - 11:00 AM (W),Thu May 4,10:30 - 12:30 pm,,,
ARCH 562 - 28893 - 9:00 AM (W),Tue May 2,10:30 - 12:30 pm,2ADS,4100,
ARCH 564 - 30744 - 9:30 AM (T),Wed May 3,10:30 - 12:30 pm,,,
ARCH 564 - 28892 - 9:30 AM (T),Wed May 3,10:30 - 12:30 pm,,,
ARCH 567 - 39736 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,,,
ARCH 573 - 28770 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2LH,307,
ARCH 586 - 30520 - 9:30 AM (R),Wed May 3,10:30 - 12:30 pm,2ADS,4100,
ARCH 586 - 28771 - 9:30 AM (R),Wed May 3,10:30 - 12:30 pm,2ADS,3109 ,
ARST 209 - 24923 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2SH,304,
ARST 209 - 24919 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2SH,304,
ASP 021 - 33063 - 11:00 AM (MWF),Thu May 4,10:30 - 12:30 pm,,,
ASP 031 - 40065 - 9:00 AM (MTWRF),Tue May 2,10:30 - 12:30 pm,2BSB,369,
ASP 032 - 40066 - 12:00 PM (MWF),Tue May 2,8:00 - 10:00 am,2SEL,2058,
ASP 032 - 40107 - 1:00 PM (MWF),Mon May 1,1:00 - 3:00 pm,2SH,215,
ASP 033 - 40067 - 12:00 PM (T),Fri May 5,8:00 - 10:00 am,2BSB,331,
ASP 034 - 40115 - 12:30 PM (R),Fri May 5,8:00 - 10:00 am,2BSB,367,
ASP 034 - 40068 - 11:00 AM (R),Mon May 1,10:30 - 12:30 pm,2BSB,335,
ASP 036 - 40203 - 3:40 PM (T),Fri May 5,1:00 - 3:00 pm,,,
ASP 038 - 40079 - 8:00 AM (M),Wed May 3,8:00 - 10:00 am,,,
ASP 039 - 40078 - 8:00 AM (R),Thu May 4,8:00 - 10:00 am,,,
ASP 039 - 40136 - 9:00 AM (R),Wed May 3,10:30 - 12:30 pm,,,
ASP 039 - 40077 - 8:00 AM (T),Thu May 4,8:00 - 10:00 am,,,
ASP 050 - 32311 - 3:00 PM (MWF),Mon May 1,8:00 - 10:00 am,2SH,312,
ASP 055 - 14266 - 3:00 PM (W),Mon May 1,8:00 - 10:00 am,2LH,320,
ASP 055 - 19422 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2BSB,119,
ASP 060 - 14267 - 11:00 AM (MWF),Thu May 4,10:30 - 12:30 pm,2GH,204 ,
ASP 062 - 24956 - 3:00 PM (MW),Mon May 1,8:00 - 10:00 am,,,
ASP 062 - 28950 - 3:00 PM (MW),Mon May 1,8:00 - 10:00 am,2BSB,119,
ASP 076 - 33062 - 10:00 AM (MWF),Fri May 5,10:30 - 12:30 pm,2BSB,187,
ASP 080 - 33064 - 12:00 PM (MWF),Tue May 2,8:00 - 10:00 am,2BSB,187,
ASP 088 - 14276 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2BSB,137,
ASP 090 - 33626 - 9:00 AM (MWF),Tue May 2,10:30 - 12:30 pm,2SH,100,
ASP 090 - 19719 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2SH,207,
ASP 092 - 14283 - 1:00 PM (MW),Mon May 1,1:00 - 3:00 pm,,,
ASP 092 - 30781 - 1:00 PM (MW),Mon May 1,1:00 - 3:00 pm,2SH,311,
ASP 092 - 33072 - 10:00 AM (MWF),Fri May 5,10:30 - 12:30 pm,2GH,204,
ASP 095 - 14284 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2BSB,335,
ASP 095 - 33628 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2SH,119,
BA 100 - 39737 - 1:00 PM (W),Mon May 1,1:00 - 3:00 pm,2LH,206,
BA 190 - 36948 - 11:00 AM (W),Thu May 4,10:30 - 12:30 pm,,,
BA 220 - 38045 - 11:00 AM (W),Wed May 3,11:00 - 12:50 pm,2SH,311,
BA 220 - 39189 - 11:00 AM (W),Wed May 3,11:00 - 12:50 pm,2SH,312,
BA 220 - 39192 - 9:00 AM (F),Fri May 5,9:00 - 10:50 am,2LH,315,
BA 220 - 38041 - 11:00 AM (R),Thu May 4,11:00 - 12:50 pm,2ETMSW,1433,
BA 220 - 39742 - 11:00 AM (R),Thu May 4,11:00 - 12:50 pm,2LH,315,
BA 220 - 39800 - 11:00 AM (F),Fri May 5,11:00 - 12:50 pm,2ETMSW,1419,
BA 220 - 39187 - 9:00 AM (T),Tue May 2,9:00 - 10:50 am,2LH,307,
BA 220 - 39190 - 2:00 PM (W),Wed May 3,2:00 - 3:50 pm,2ETMSW,1433,
BA 220 - 39743 - 11:00 AM (T),Tue May 2,11:00 - 12:50 pm,2LH,307,
BA 220 - 39185 - 9:00 AM (R),Thu May 4,9:00 - 10:50 am,2LH,315,
BA 289 - 38389 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,,,
BA 289 - 38390 - 3:00 PM (W),Mon May 1,8:00 - 10:00 am,,,
BA 289 - 38391 - 3:30 PM (R),Fri May 5,1:00 - 3:00 pm,,,
BA 290 - 36533 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,,,
BA 290 - 39937 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2BSB,319,
BA 320 - 39739 - 11:00 AM (F),Thu May 4,10:30 - 12:30 pm,2BSB,337,
BA 420 - 38781 - 3:00 PM (W),Mon May 1,8:00 - 10:00 am,2LH,308,
BA 420 - 37071 - 6:00 PM (W),Wed May 3,6:00 - 8:00 pm,2LH,205,
BA 420 - 39702 - 1:00 PM (F),Mon May 1,1:00 - 3:00 pm,,,
BA 420 - 38785 - 3:30 PM (R),Fri May 5,1:00 - 3:00 pm,2SH,208,
BA 420 - 37067 - 3:00 PM (T),Fri May 5,1:00 - 3:00 pm,,,
BA 420 - 38083 - 6:00 PM (T),Tue May 2,6:00 - 8:00 pm,,,
BA 420 - 38786 - 6:00 PM (R),Thu May 4,6:00 - 8:00 pm,,,
BA 420 - 38084 - 3:30 PM (R),Fri May 5,1:00 - 3:00 pm,2SH,208,
BA 420 - 38085 - 6:00 PM (R),Thu May 4,6:00 - 8:00 pm,,,
BA 420 - 37070 - 6:00 PM (M),Mon May 1,6:00 - 8:00 pm,2LH,101,
BA 420 - 39701 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,,,
BA 420 - 38782 - 6:00 PM (M),Mon May 1,6:00 - 8:00 pm,2LH,101,
BA 420 - 38784 - 6:00 PM (T),Tue May 2,6:00 - 8:00 pm,,,
BA 420 - 38783 - 6:00 PM (W),Wed May 3,6:00 - 8:00 pm,2LH,205,
BA 420 - 39700 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,,,
BA 420 - 38780 - 3:00 PM (T),Fri May 5,1:00 - 3:00 pm,,,
BA 420 - 39703 - 1:00 PM (F),Mon May 1,1:00 - 3:00 pm,,,
BA 420 - 37068 - 3:00 PM (W),Mon May 1,8:00 - 10:00 am,2LH,308,
BIOE 101 - 34405 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2SCE,408,
BIOE 102 - 36973 - 3:00 PM (F),Mon May 1,8:00 - 10:00 am,,,
BIOE 205 - 25097 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2SEO,236,
BIOE 240 - 34406 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2SCE,408,
BIOE 250 - 25095 - 11:00 AM (M),Thu May 4,10:30 - 12:30 pm,2LCD,D005,
BIOE 310 - 35795 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2SEO,236,
BIOE 325 - 38394 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2LCA,A005,
BIOE 397 - 14161 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2SEO,236,
BIOE 397 - 34407 - 5:30 PM (T),Thu May 4,3:30 - 5:30 pm,,,
BIOE 399 - 38393 - 1:00 PM (W),Mon May 1,1:00 - 3:00 pm,,,
BIOE 407 - 19500 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2LCC,C001,
BIOE 407 - 19501 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2LCC,C001,
BIOE 410 - 31400 - 8:00 AM (TR),Thu May 4,8:00 - 10:00 am,2BH,208,
BIOE 410 - 31401 - 8:00 AM (TR),Thu May 4,8:00 - 10:00 am,2BH,208,
BIOE 422 - 39675 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2TH,216,
BIOE 422 - 39676 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2TH,216,
BIOE 423 - 39471 - 9:00 AM (F),Tue May 2,10:30 - 12:30 pm,,,
BIOE 430 - 25099 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2LCD,D005,
BIOE 430 - 25098 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2LCD,D005,
BIOE 431 - 26854 - 11:00 AM (M),Thu May 4,10:30 - 12:30 pm,,,
BIOE 431 - 26853 - 2:00 PM (W),Wed May 3,1:00 - 3:00 pm,,,
BIOE 431 - 14163 - 10:00 AM (W),Fri May 5,10:30 - 12:30 pm,,,
BIOE 450 - 23591 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2TH,219,
BIOE 452 - 32338 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2BSB,211,
BIOE 452 - 32339 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2BSB,211,
